library,run,run.lib,sample,seq.notes,Sequenced,SBS,ExK,AUST
GES17_SBS_SB099,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB099,IW_S18833,,Y,Y,,
GES17_SBS_SB100,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB100,IW_S18740,,Y,Y,,
GES17_SBS_SB101,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB101,IW_S18756,,Y,Y,,
GES17_SBS_SB102,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB102,IW_S18682,,Y,Y,,
GES17_SBS_SB103,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB103,IW_S18663,,Y,Y,,
GES17_SBS_SB104,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB104,IW_S18665,,Y,Y,,
GES17_SBS_SB105,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB105,IW_S18759,,Y,Y,,
GES17_SBS_SB106,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB106,IW_S18741,,Y,Y,,
GES17_SBS_SB107,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB107,IW_S18688,,Y,Y,,
GES17_SBS_SB108,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB108,IW_S18667,,Y,Y,,
GES17_SBS_SB109,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB109,IW_S18827,,Y,Y,,
GES17_SBS_SB110,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB110,IW_S18737,,Y,Y,,
GES17_SBS_SB111,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB111,IW_S18829,,Y,Y,,
GES17_SBS_SB112,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB112,IW_S18692,,Y,Y,,
GES17_SBS_SB113,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB113,IW_S18718,,Y,Y,,
GES17_SBS_SB114,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB114,IW_S18766,,Y,Y,,
GES17_SBS_SB115_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB115_1,IW_S18775_1,,Y,Y,,
GES17_SBS_SB115_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB115_2,IW_S18775_2,,Y,Y,,
GES17_SBS_SB116,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB116,IW_S18791,,Y,Y,,
GES17_SBS_SB117,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB117,IW_S18673,,Y,Y,,
GES17_SBS_SB118,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB118,IW_S18717,,Y,Y,,
GES17_SBS_SB119,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB119,IW_S18815,,Y,Y,,
GES17_SBS_SB120,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB120,IW_S18800,,Y,Y,,
GES17_SBS_SB121,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB121,IW_S18727,,Y,Y,,
GES17_SBS_SB122,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB122,IW_S18698,,Y,Y,,
GES17_SBS_SB123,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB123,IW_S18843,,Y,Y,,
GES17_SBS_SB124,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB124,IW_S18819,,Y,Y,,
GES17_SBS_SB125,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB125,IW_S18824,,Y,Y,,
GES17_SBS_SB126,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB126,IW_S18807,,Y,Y,,
GES17_SBS_SB127,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB127,IW_S18751,,Y,Y,,
GES17_SBS_SB128,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB128,IW_S18686,,Y,Y,,
GES17_SBS_SB129,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB129,IW_S18703,,Y,Y,,
GES17_SBS_SB131,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB131,IW_S18826,,Y,Y,,
GES17_SBS_SB133,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB133,IW_S18678,,Y,Y,,
GES17_SBS_SB134,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB134,IW_S18841,,Y,Y,,
GES17_SBS_SB136,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB136,IW_S18804,,Y,Y,,
GES17_SBS_SB137,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB137,IW_S18831,,Y,Y,,
GES17_SBS_SB139,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB139,IW_S18805,,Y,Y,,
GES17_SBS_SB140,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB140,IW_S18715,,Y,Y,,
GES17_SBS_SB141,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB141,IW_S18770,,Y,Y,,
GES17_SBS_SB142,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB142,IW_S18676,,Y,Y,,
GES17_SBS_SB143,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB143,IW_S18725,,Y,Y,,
GES17_SBS_SB144,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB144,IW_S18821,,Y,Y,,
GES17_SBS_SB145,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB145,IW_S18784,,Y,Y,,
GES17_SBS_SB146,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB146,IW_S18706,,Y,Y,,
GES17_SBS_SB147,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB147,IW_S18720,,Y,Y,,
GES17_SBS_SB148,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB148,IW_S18838,,Y,Y,,
GES17_SBS_SB149,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB149,IW_S18798,,Y,Y,,
GES17_SBS_SB150,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB150,IW_S18752,,Y,Y,,
